Device: cuda
* Epoch 1/30
 - loss: 0.659740
 - val_loss: 0.896136
* Epoch 2/30
 - loss: 0.615416
 - val_loss: 0.897559
* Epoch 3/30
 - loss: 0.569317
 - val_loss: 1.024982
* Epoch 4/30
 - loss: 0.547271
 - val_loss: 0.752114
* Epoch 5/30
 - loss: 0.476498
 - val_loss: 0.729612
* Epoch 6/30
 - loss: 0.424365
 - val_loss: 0.900535
* Epoch 7/30
 - loss: 0.408457
 - val_loss: 0.754009
* Epoch 8/30
 - loss: 0.387792
 - val_loss: 0.828876
* Epoch 9/30
 - loss: 0.365693
 - val_loss: 0.791034
* Epoch 10/30
 - loss: 0.337900
 - val_loss: 1.521135
* Epoch 11/30
 - loss: 0.360636
 - val_loss: 1.517670
* Epoch 12/30
 - loss: 0.314416
 - val_loss: 0.938246
* Epoch 13/30
 - loss: 0.245056
 - val_loss: 0.877365
* Epoch 14/30
 - loss: 0.254293
 - val_loss: 0.720509
* Epoch 15/30
 - loss: 0.228098
 - val_loss: 0.615672
* Epoch 16/30
 - loss: 0.210170
 - val_loss: 0.518643
* Epoch 17/30
 - loss: 0.198623
 - val_loss: 0.492164
* Epoch 18/30
 - loss: 0.195015
 - val_loss: 0.465218
* Epoch 19/30
 - loss: 0.179215
 - val_loss: 0.730550
* Epoch 20/30
 - loss: 0.187511
 - val_loss: 0.656163
* Epoch 21/30
 - loss: 0.177963
 - val_loss: 0.785288
* Epoch 22/30
 - loss: 0.182779
 - val_loss: 0.393619
* Epoch 23/30
 - loss: 0.194682
 - val_loss: 0.539127
* Epoch 24/30
 - loss: 0.179894
 - val_loss: 0.937978
* Epoch 25/30
 - loss: 0.206524
 - val_loss: 0.785753
* Epoch 26/30
 - loss: 0.192032
 - val_loss: 0.590728
* Epoch 27/30
 - loss: 0.176842
 - val_loss: 0.610355
* Epoch 28/30
 - loss: 0.147993
 - val_loss: 0.552264
* Epoch 29/30
 - loss: 0.162030
 - val_loss: 0.426535
* Epoch 30/30
 - loss: 0.171562
 - val_loss: 0.341038
* Epoch 1/30
 - loss: 0.623618
 - val_loss: 0.827607
* Epoch 2/30
 - loss: 0.516253
 - val_loss: 0.906455
* Epoch 3/30
 - loss: 0.440753
 - val_loss: 0.791607
* Epoch 4/30
 - loss: 0.385879
 - val_loss: 0.724091
* Epoch 5/30
 - loss: 0.357072
 - val_loss: 0.790942
* Epoch 6/30
 - loss: 0.322775
 - val_loss: 0.951121
* Epoch 7/30
 - loss: 0.288121
 - val_loss: 1.238109
* Epoch 8/30
 - loss: 0.264199
 - val_loss: 1.026262
* Epoch 9/30
 - loss: 0.220603
 - val_loss: 1.400111
* Epoch 10/30
 - loss: 0.246634
 - val_loss: 0.785473
* Epoch 11/30
 - loss: 0.229526
 - val_loss: 0.534566
* Epoch 12/30
 - loss: 0.222775
 - val_loss: 0.860760
* Epoch 13/30
 - loss: 0.214390
 - val_loss: 0.722417
* Epoch 14/30
 - loss: 0.199301
 - val_loss: 0.569515
* Epoch 15/30
 - loss: 0.186291
 - val_loss: 0.854801
* Epoch 16/30
 - loss: 0.172967
 - val_loss: 0.916123
* Epoch 17/30
 - loss: 0.182623
 - val_loss: 0.665100
* Epoch 18/30
 - loss: 0.183368
 - val_loss: 0.551549
* Epoch 19/30
 - loss: 0.168489
 - val_loss: 0.681545
* Epoch 20/30
 - loss: 0.154476
 - val_loss: 1.000065
* Epoch 21/30
 - loss: 0.181274
 - val_loss: 0.473945
* Epoch 22/30
 - loss: 0.161624
 - val_loss: 0.676609
* Epoch 23/30
 - loss: 0.168964
 - val_loss: 0.616244
* Epoch 24/30
 - loss: 0.153006
 - val_loss: 0.650238
* Epoch 25/30
 - loss: 0.152851
 - val_loss: 0.629948
* Epoch 26/30
 - loss: 0.150569
 - val_loss: 0.516779
* Epoch 27/30
 - loss: 0.140802
 - val_loss: 0.811582
* Epoch 28/30
 - loss: 0.150550
 - val_loss: 0.513841
* Epoch 29/30
 - loss: 0.150085
 - val_loss: 0.546894
* Epoch 30/30
 - loss: 0.135092
 - val_loss: 0.746966
